Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
ARCOR;ALFAJOR BON O BON BLANCO SIMPLE 40G;64,15;88;37;0;0;7790040613607;65381;11/05/2023
ARCOR;ALFAJOR BON O BON TRIPLE X 60 G;146,5;200;37;0;0;7790040614000;65266;11/05/2023
ARCOR;ALFAJOR CABSHA NEGRO 47G;10,03;17;66;0;0;7790040444300;78;11/05/2023
CITRIC;ALFAJOR CACHAFAZ BLANCO;216,66;300;38;1456;12;77934505;961;11/05/2023
CITRIC;ALFAJOR CACHAFAZ NEGRO;216,66;300;38;1468;12,94;77934499;47;11/05/2023
PALACIO;ALFAJOR CAPRICHO BLANCO;46,82;70;50;314,63;12;7798353430010;994;11/05/2023
PALACIO;ALFAJOR CAPRICHO MOUSSE;46,82;70;50;314,63;12;7798353430034;998;11/05/2023
PALACIO;ALFAJOR CAPRICHO NEGRO;46,82;70;50;314,63;12;7798353430027;97;11/05/2023
TERRABUSI;ALFAJOR CLASICO TERRABUSI 50G;109;150;38;0;-100;77939234;927;11/05/2023
ARCOR;ALFAJOR COFLER BLOCK 60G;156;220;41;0;0;7790040659605;65207;11/05/2023
ARCOR;ALFAJOR COFLER MOUSE NEGRO X 40G;10,03;17;66;0;0;7790040762503;91;11/05/2023
HUACHANA MARTIN;ALFAJOR EL GAUCHITO;113,05;150;33;779;14,79;3267;797;11/05/2023
HUACHANA MARTIN;ALFAJOR FRUTA EL GAUCHITO;31,66;40;26;212,76;12;3294;-1;11/05/2023
PALACIO;ALFAJOR GRANDOTE 2X15;11,4;18;57;0;0;1539;21;11/05/2023
TALCA;ALFAJOR MANON SIMPLE;40,81;60;47;274;12;77980168;980;11/05/2023
OSOLA;ALFAJOR MARLEY;65;100;54;436,8;12;7798350431010;-19;11/05/2023
OSOLA;ALFAJOR MARLEY BLANCO;65;100;54;436,8;12;7798350431027;958;11/05/2023
TERRABUSI;ALFAJOR MILKA DULCE DE LECHE TRIPLE X 70 g;170;230;35;0;0;77903778;551;11/05/2023
ARCOR;ALFAJOR MILKA MOUSE TRIPLE X 55G;20,04;33;66;0;0;7790385;94;11/05/2023
TERRABUSI;ALFAJOR MILKA MOUSSE;170;230;35;0;2;77903785;242;11/05/2023
TERRABUSI;ALFAJOR MILKA MOUSSE 42 GR;64;80;25;430;12;7622300759506;974;11/05/2023
TERRABUSI;ALFAJOR MILKA MOUSSE BLANCO;170;230;35;1142;12;7622300457303;927;11/05/2023
TERRABUSI;ALFAJOR MILKA TORTA OREO;170;230;35;1142;12;7622300835620;849;11/05/2023
ARCOR;ALFAJOR MINI AGUILA BLANCO;10,18;24;138;68,4;12;7790040125728;11;11/05/2023
ARCOR;01/06/2001;149,34;187;25;1003,56;12;7790040129306;996;11/05/2023
ARCOR;ALFAJOR MINI TOFI X 6 ok;58,89;84;42;395,76;12;7790040116641;98;11/05/2023
ARCOR;ALFAJOR MINITORTA AGUILA BLANCO;161;220;37;1082;12;7790040133570;990;11/05/2023
ARCOR;ALFAJOR MINITORTA AGUILA CLASICA;161;220;37;1082;12;7790040133587;980;11/05/2023
ARCOR;ALFAJOR MINITORTA CHOCOLATE BLANCO 72G;161;220;37;0;0;7790040316508;65414;11/05/2023
ARCOR;ALFAJOR MINITORTA DARK;161;220;37;1082;12;7790040137578;9997;11/05/2023
TERRABUSI;ALFAJOR OREO TRIPLE X 55G;170;230;35;0;0;77976307;900;11/05/2023
TERRABUSI;ALFAJOR PEPITOS TRIPLE;170;230;35;0;0;77915481;65402;11/05/2023
PALACIO;ALFAJOR RECOLETA  NEGRO 72G;11,89;18;51;0;0;77931221;882;11/05/2023
PALACIO;ALFAJOR RECOLETA BLANCO X 72 G;11,89;18;51;0;0;77942920;65;11/05/2023
ARCOR;ALFAJOR SER DULCE DE LECHE X 47 G;30,05;42;39;0;0;7790040102699;985;11/05/2023
TERRABUSI;ALFAJOR SUCHARD MOUSSE;25,8;35;36;0;0;7622300817725;65522;11/05/2023
ARCOR;ALFAJOR TATIN BLANCO SIMPLE 33G;46,78;60;28;0;0;7790040331303;64103;11/05/2023
ARCOR;ALFAJOR TATIN BLANCO TRIPLE X 60 G;86,64;120;39;0;0;7790040405301;65033;11/05/2023
ARCOR;ALFAJOR TATIN NEGRO SIMPLE 33G;46,78;60;28;0;0;7790040331204;65090;11/05/2023
ARCOR;ALFAJOR TATIN NEGRO TRIPLE X 60G;86,64;120;39;0;0;7790040405608;64978;11/05/2023
TERRABUSI;ALFAJOR TERRABUSI GLASEADO X 38 G;109;150;38;0;0;1632;802;11/05/2023
TERRABUSI;ALFAJOR TITA;35,8;50;40;215;0;77908308;874;11/05/2023
ARCOR;ALFAJOR TOFI GLASEADO 44 GR.;25,97;33;27;0;0;7790040116634;65442;11/05/2023
ARCOR;ALFAJOR TOFI NEGRO 44 GR.;48,61;66;36;0;0;7790040116610;65205;11/05/2023
COCA COLA;ALFAJOR TOFI TRIPLE 2 X30;24;35;46;0;0;1975;1000;11/05/2023
ARCOR;ALFAJOR TOFI TRIPLE X 73G;161;220;37;0;0;7790040484801;65189;11/05/2023
TERRABUSI;ALFAJOR TORTA TERRABUSI TRIPLE 70 G;170;230;35;0;-100;77903860;817;11/05/2023
TERRABUSI;ALFAJOR TRISHOT;170;230;35;1142;12;77956699;762;11/05/2023
MARCOS DISTRIBUCIONES;ALFAJOR VIMAR;13;20;54;87;12;77958365;322;11/05/2023
ANALGESICOS;ALIKAL;90;130;44;0;0;15;78;11/05/2023
ANALGESICOS;ALMAXIMO;150;200;33;1008;12;3351;72;11/05/2023
ARCOR;ALMENDRAS CON CHOCOLATE;191,9;242;26;1320,06;14,65;7790580415709;2;11/05/2023
OTROS;Alquiler Veh°culo DOMINIO AB066HT;0;0;0;0;12;3195;10;11/05/2023
OTROS;Alquiler Veh°culo DOMINIO AC331WV;0;0;0;0;12;3189;9;11/05/2023
NATY SARAVIA W.T;ALTO MOLINO MALBEC;1380;1800;30;9600;15,94;742832556880;490;11/05/2023
ANALGESICOS;ALUMINIO PARA NARGILES ALBABIL;250;330;32;1680;12;3479;6;11/05/2023
OSOLA;AMARGO OBRERO;416;550;32;2900;16,19;7790950001969;688;11/05/2023
BARRICA BEBIDAS;AMARGO SERRANO TRES TORRES;15;23;53;0;0;7790950003420;79;11/05/2023
OSOLA;AMARULA 750 ML;5942;7600;28;6900;16,12;6001495062508;65469;11/05/2023
ANALGESICOS;AMOXICILINA 500 MG;41,5;60;45;0;0;16;65247;11/05/2023
PEJINAKIS;ANANA /PIÛA 1 L;28;35;25;0;0;7794000792265;956;11/05/2023
BARRICA BEBIDAS;ANANA EN RODAJAS SAN REMO;48,33;58;20;0;0;7798022222274;65535;11/05/2023
BARRICA BEBIDAS;ANANA FIZZ DE LOS NI•OS minions;56,35;75;33;390;15,35;7798054012874;86;11/05/2023
HUACHANA MARTIN;ANANA FIZZ DEL VALLE;485;700;44;3400;16,84;7790154000027;65308;11/05/2023
BARRICA BEBIDAS;ANANA FIZZ TUNUYAN;40;50;25;275;14,58;7791305000279;-3;11/05/2023
OTROS;ANANA FIZZ VICTORIA;116,28;150;29;770;10,37;7792316000036;988;11/05/2023
TIA MARUCA;ANILLOS DE COCO;48,51;60;24;325,99;12;7798082740107;10;11/05/2023
